threshold,reservations,annulations,seuil_en_heure,diminution_reservations,diminution_annulations
0,1841,229,0.0,0,0
30,1562,194,0.5,279,35
60,1440,186,1.0,401,43
90,1257,163,1.5,584,66
120,1175,155,2.0,666,74
150,1038,142,2.5,803,87
180,971,132,3.0,870,97
210,888,123,3.5,953,106
240,840,112,4.0,1001,117
270,773,103,4.5,1068,126
300,735,99,5.0,1106,130
330,697,97,5.5,1144,132
360,671,92,6.0,1170,137
390,630,87,6.5,1211,142
420,615,84,7.0,1226,145
450,574,74,7.5,1267,155
480,551,70,8.0,1290,159
510,509,67,8.5,1332,162
540,473,61,9.0,1368,168
570,436,58,9.5,1405,171
600,392,53,10.0,1449,176
630,320,37,10.5,1521,192
660,267,29,11.0,1574,200
690,195,22,11.5,1646,207
720,130,11,12.0,1711,218
